,Location type,ParentLocation,PM25 Value,Average PM25
0,Country,Africa,10.01,23.53843492063492
1,Country,Americas,10.02,23.53843492063492
2,Country,Europe,10.06,23.53843492063492
3,Country,Americas,10.08,23.53843492063492
4,Country,Americas,10.09,23.53843492063492
5,Country,Europe,10.12,23.53843492063492
6,Country,Europe,10.19,23.53843492063492
7,Country,Europe,10.19,23.53843492063492
8,Country,Americas,10.22,23.53843492063492
9,Country,Americas,10.22,23.53843492063492
10,Country,Americas,10.26,23.53843492063492
11,Country,Europe,10.27,23.53843492063492
12,Country,Americas,10.33,23.53843492063492
13,Country,Europe,10.34,23.53843492063492
14,Country,Europe,10.37,23.53843492063492
15,Country,Americas,10.38,23.53843492063492
16,Country,Americas,10.39,23.53843492063492
17,Country,Americas,10.39,23.53843492063492
18,Country,Americas,10.4,23.53843492063492
19,Country,Americas,10.44,23.53843492063492
20,Country,Americas,10.44,23.53843492063492
21,Country,Americas,10.45,23.53843492063492
22,Country,Europe,10.46,23.53843492063492
23,Country,Africa,10.48,23.53843492063492
24,Country,Africa,10.48,23.53843492063492
25,Country,Europe,10.5,23.53843492063492
26,Country,Americas,10.51,23.53843492063492
27,Country,Americas,10.51,23.53843492063492
28,Country,Western Pacific,10.51,23.53843492063492
29,Country,Africa,10.53,23.53843492063492
30,Country,Europe,10.55,23.53843492063492
31,Country,Europe,10.7,23.53843492063492
32,Country,Europe,10.73,23.53843492063492
33,Country,Europe,10.74,23.53843492063492
34,Country,Africa,10.81,23.53843492063492
35,Country,Western Pacific,10.84,23.53843492063492
36,Country,Americas,10.86,23.53843492063492
37,Country,Europe,10.88,23.53843492063492
38,Country,Americas,10.89,23.53843492063492
39,Country,Americas,10.94,23.53843492063492
40,Country,Americas,11.07,23.53843492063492
41,Country,Europe,11.08,23.53843492063492
42,Country,Western Pacific,11.1,23.53843492063492
43,Country,Americas,11.11,23.53843492063492
44,Country,Africa,11.13,23.53843492063492
45,Country,Europe,11.15,23.53843492063492
46,Country,Europe,11.15,23.53843492063492
47,Country,Americas,11.23,23.53843492063492
48,Country,Europe,11.24,23.53843492063492
49,Country,Americas,11.25,23.53843492063492
50,Country,Europe,11.26,23.53843492063492
51,Country,Americas,11.26,23.53843492063492
52,Country,Western Pacific,11.32,23.53843492063492
53,Country,Europe,11.34,23.53843492063492
54,Country,Americas,11.46,23.53843492063492
55,Country,Europe,11.51,23.53843492063492
56,Country,Europe,11.52,23.53843492063492
57,Country,Europe,11.55,23.53843492063492
58,Country,Europe,11.57,23.53843492063492
59,Country,Americas,11.6,23.53843492063492
60,Country,Europe,11.67,23.53843492063492
61,Country,Americas,11.7,23.53843492063492
62,Country,Americas,11.75,23.53843492063492
63,Country,Americas,11.78,23.53843492063492
64,Country,Africa,11.81,23.53843492063492
65,Country,Europe,11.83,23.53843492063492
66,Country,Americas,11.85,23.53843492063492
67,Country,Americas,11.89,23.53843492063492
68,Country,Europe,11.92,23.53843492063492
69,Country,Americas,11.97,23.53843492063492
70,Country,Americas,12.01,23.53843492063492
71,Country,Europe,12.02,23.53843492063492
72,Country,Europe,12.03,23.53843492063492
73,Country,Americas,12.04,23.53843492063492
74,Country,Americas,12.05,23.53843492063492
75,Country,Europe,12.06,23.53843492063492
76,Country,Europe,12.15,23.53843492063492
77,Country,Americas,12.17,23.53843492063492
78,Country,Europe,12.21,23.53843492063492
79,Country,Europe,12.23,23.53843492063492
80,Country,Europe,12.26,23.53843492063492
81,Country,Europe,12.29,23.53843492063492
82,Country,Europe,12.3,23.53843492063492
83,Country,Americas,12.31,23.53843492063492
84,Country,Africa,12.33,23.53843492063492
85,Country,Africa,12.34,23.53843492063492
86,Country,Africa,12.34,23.53843492063492
87,Country,South-East Asia,12.34,23.53843492063492
88,Country,Europe,12.37,23.53843492063492
89,Country,Europe,12.42,23.53843492063492
90,Country,Americas,12.49,23.53843492063492
91,Country,Africa,12.51,23.53843492063492
92,Country,Africa,12.52,23.53843492063492
93,Country,Africa,12.68,23.53843492063492
94,Country,South-East Asia,12.69,23.53843492063492
95,Country,Europe,12.7,23.53843492063492
96,Country,Europe,12.74,23.53843492063492
97,Country,Americas,12.78,23.53843492063492
98,Country,Eastern Mediterranean,12.8,23.53843492063492
99,Country,Africa,12.82,23.53843492063492
100,Country,Americas,12.85,23.53843492063492
101,Country,Europe,12.93,23.53843492063492
102,Country,Americas,12.93,23.53843492063492
103,Country,Europe,12.94,23.53843492063492
104,Country,South-East Asia,13.0,23.53843492063492
105,Country,Europe,13.01,23.53843492063492
